SalesKey,DateKey,ProductKey,CustomerKey,EmployeeKey,Quantity,DiscountPercent,UnitPrice,UnitCost,GrossSales,DiscountAmount,NetSales,Cost,GrossProfit,InvoiceNumber
38,20240101,1061,622,1013,36,0.2,81.65,45.45,2939.4,587.88,2351.52,1636.2,715.32,INV2024010100038
39,20240101,1301,563,1007,38,0.0,73.36,39.87,2787.68,0.0,2787.68,1515.06,1272.62,INV2024010100039
40,20240101,1073,598,1010,78,0.1,95.4,24.41,7441.2,744.12,6697.08,1903.98,4793.1,INV2024010100040
41,20240101,1227,443,1020,13,0.15,53.71,34.79,698.23,104.73,593.5,452.27,141.23,INV2024010100041
42,20240101,1302,649,1008,40,0.05,54.21,46.24,2168.4,108.42,2059.98,1849.6,210.38,INV2024010100042
43,20240101,1253,581,1017,52,0.0,86.64,16.34,4505.28,0.0,4505.28,849.68,3655.6,INV2024010100043
44,20240101,1285,491,1019,24,0.0,13.94,18.2,334.56,0.0,334.56,436.8,-102.24,INV2024010100044
45,20240101,1015,568,1011,61,0.1,89.62,27.47,5466.82,546.68,4920.14,1675.67,3244.47,INV2024010100045
46,20240101,1257,157,1019,78,0.15,55.76,35.17,4349.28,652.39,3696.89,2743.26,953.63,INV2024010100046
47,20240101,1257,574,1009,72,0.0,55.76,35.17,4014.72,0.0,4014.72,2532.24,1482.48,INV2024010100047
48,20240101,1236,161,1014,12,0.0,42.57,36.03,510.84,0.0,510.84,432.36,78.48,INV2024010100048
49,20240101,1257,120,1005,52,0.0,55.76,35.17,2899.52,0.0,2899.52,1828.84,1070.68,INV2024010100049
50,20240101,1064,669,1004,95,0.2,89.33,41.48,8486.35,1697.27,6789.08,3940.6,2848.48,INV2024010100050
51,20240101,1138,693,1012,98,0.0,33.81,15.5,3313.38,0.0,3313.38,1519.0,1794.38,INV2024010100051
52,20240101,1069,548,1008,85,0.0,67.73,17.56,5757.05,0.0,5757.05,1492.6,4264.45,INV2024010100052
53,20240101,1333,189,1005,4,0.0,45.45,48.88,181.8,0.0,181.8,195.52,-13.72,INV2024010100053
54,20240101,1080,86,1017,11,0.1,66.96,28.2,736.56,73.66,662.9,310.2,352.7,INV2024010100054
55,20240101,1175,175,1016,56,0.0,24.22,35.49,1356.32,0.0,1356.32,1987.44,-631.12,INV2024010100055
56,20240101,1312,360,1015,7,0.05,48.94,48.48,342.58,17.13,325.45,339.36,-13.91,INV2024010100056
57,20240101,1064,656,1012,55,0.0,89.33,41.48,4913.15,0.0,4913.15,2281.4,2631.75,INV2024010100057
58,20240101,1181,2,1009,76,0.15,78.0,16.28,5928.0,889.2,5038.8,1237.28,3801.52,INV2024010100058
59,20240101,1025,547,1007,63,0.0,93.62,5.88,5898.06,0.0,5898.06,370.44,5527.62,INV2024010100059
60,20240101,1094,499,1013,5,0.0,61.81,44.63,309.05,0.0,309.05,223.15,85.9,INV2024010100060
61,20240101,1224,342,1008,3,0.2,29.36,38.58,88.08,17.62,70.46,115.74,-45.28,INV2024010100061
62,20240101,1022,509,1007,96,0.2,33.71,44.41,3236.16,647.23,2588.93,4263.36,-1674.43,INV2024010100062
63,20240101,1176,328,1007,64,0.0,72.13,48.29,4616.32,0.0,4616.32,3090.56,1525.76,INV2024010100063
64,20240101,1112,504,1016,99,0.0,51.38,45.12,5086.62,0.0,5086.62,4466.88,619.74,INV2024010100064
65,20240101,1074,225,1019,12,0.2,74.78,43.16,897.36,179.47,717.89,517.92,199.97,INV2024010100065
66,20240101,1014,53,1014,94,0.0,34.1,19.2,3205.4,0.0,3205.4,1804.8,1400.6,INV2024010100066
67,20240101,1331,185,1022,33,0.0,14.6,7.04,481.8,0.0,481.8,232.32,249.48,INV2024010100067
68,20240101,1009,694,1021,40,0.0,69.51,8.13,2780.4,0.0,2780.4,325.2,2455.2,INV2024010100068
69,20240101,1114,63,1004,41,0.0,63.32,42.16,2596.12,0.0,2596.12,1728.56,867.56,INV2024010100069
70,20240101,1067,79,1007,3,0.15,92.66,13.98,277.98,41.7,236.28,41.94,194.34,INV2024010100070
71,20240101,1173,312,1012,26,0.2,54.79,35.74,1424.54,284.91,1139.63,929.24,210.39,INV2024010100071
72,20240101,1107,346,1012,38,0.0,91.72,30.91,3485.36,0.0,3485.36,1174.58,2310.78,INV2024010100072
73,20240101,1117,184,1014,34,0.2,41.93,26.94,1425.62,285.12,1140.5,915.96,224.54,INV2024010100073
74,20240101,1141,204,1008,67,0.0,71.98,10.6,4822.66,0.0,4822.66,710.2,4112.46,INV2024010100074
75,20240101,1253,355,1009,78,0.05,86.64,16.34,6757.92,337.9,6420.02,1274.52,5145.5,INV2024010100075
76,20240101,1270,38,1009,14,0.1,55.18,7.4,772.52,77.25,695.27,103.6,591.67,INV2024010100076
77,20240101,1230,10,1011,81,0.1,95.08,14.2,7701.48,770.15,6931.33,1150.2,5781.13,INV2024010100077
78,20240101,1008,40,1022,79,0.2,89.69,33.29,7085.51,1417.1,5668.41,2629.91,3038.5,INV2024010100078
79,20240101,1236,574,1004,12,0.0,42.57,36.03,510.84,0.0,510.84,432.36,78.48,INV2024010100079
80,20240101,1044,570,1008,39,0.0,14.51,19.11,565.89,0.0,565.89,745.29,-179.4,INV2024010100080
81,20240101,1281,44,1022,94,0.2,80.97,5.73,7611.18,1522.24,6088.94,538.62,5550.32,INV2024010100081
82,20240101,1104,41,1005,62,0.1,23.71,5.92,1470.02,147.0,1323.02,367.04,955.98,INV2024010100082
83,20240101,1221,579,1019,49,0.0,84.65,46.81,4147.85,0.0,4147.85,2293.69,1854.16,INV2024010100083
84,20240101,1063,561,1005,59,0.0,93.32,38.73,5505.88,0.0,5505.88,2285.07,3220.81,INV2024010100084
85,20240101,1132,305,1012,51,0.1,47.46,30.11,2420.46,242.05,2178.41,1535.61,642.8,INV2024010100085
86,20240101,1176,271,1021,71,0.05,72.13,48.29,5121.23,256.06,4865.17,3428.59,1436.58,INV2024010100086
87,20240101,1001,184,1019,35,0.0,59.08,38.33,2067.8,0.0,2067.8,1341.55,726.25,INV2024010100087
88,20240101,1180,461,1010,51,0.05,64.64,40.95,3296.64,164.83,3131.81,2088.45,1043.36,INV2024010100088
89,20240101,1068,386,1012,31,0.05,27.38,6.06,848.78,42.44,806.34,187.86,618.48,INV2024010100089
90,20240101,1134,377,1015,40,0.05,64.87,32.95,2594.8,129.74,2465.06,1318.0,1147.06,INV2024010100090
91,20240101,1003,199,1022,37,0.0,59.04,34.24,2184.48,0.0,2184.48,1266.88,917.6,INV2024010100091
92,20240101,1068,284,1004,14,0.0,27.38,6.06,383.32,0.0,383.32,84.84,298.48,INV2024010100092
93,20240101,1303,250,1009,58,0.0,50.06,45.44,2903.48,0.0,2903.48,2635.52,267.96,INV2024010100093
94,20240101,1258,381,1005,28,0.0,78.95,20.38,2210.6,0.0,2210.6,570.64,1639.96,INV2024010100094
95,20240101,1198,679,1020,12,0.15,20.99,13.54,251.88,37.78,214.1,162.48,51.62,INV2024010100095
96,20240101,1299,621,1017,70,0.05,43.03,11.2,3012.1,150.6,2861.5,784.0,2077.5,INV2024010100096
97,20240101,1055,270,1016,68,0.0,74.59,32.22,5072.12,0.0,5072.12,2190.96,2881.16,INV2024010100097
98,20240101,1219,299,1014,97,0.05,30.18,34.55,2927.46,146.37,2781.09,3351.35,-570.26,INV2024010100098
99,20240101,1273,467,1019,56,0.2,50.37,36.75,2820.72,564.14,2256.58,2058.0,198.58,INV2024010100099
100,20240101,1257,613,1021,5,0.0,55.76,35.17,278.8,0.0,278.8,175.85,102.95,INV2024010100100
101,20240101,1311,231,1006,9,0.0,56.56,25.96,509.04,0.0,509.04,233.64,275.4,INV2024010100101
102,20240101,1014,616,1004,62,0.1,34.1,19.2,2114.2,211.42,1902.78,1190.4,712.38,INV2024010100102
103,20240101,1122,631,1017,82,0.05,48.3,28.89,3960.6,198.03,3762.57,2368.98,1393.59,INV2024010100103
104,20240101,1060,703,1020,96,0.2,59.73,21.61,5734.08,1146.82,4587.26,2074.56,2512.7,INV2024010100104
105,20240101,1015,21,1006,95,0.2,89.62,27.47,8513.9,1702.78,6811.12,2609.65,4201.47,INV2024010100105
106,20240101,1271,592,1015,34,0.2,38.68,15.1,1315.12,263.02,1052.1,513.4,538.7,INV2024010100106
107,20240101,1281,512,1005,40,0.0,80.97,5.73,3238.8,0.0,3238.8,229.2,3009.6,INV2024010100107
108,20240101,1296,375,1005,91,0.0,80.32,32.34,7309.12,0.0,7309.12,2942.94,4366.18,INV2024010100108
109,20240101,1257,221,1015,39,0.0,55.76,35.17,2174.64,0.0,2174.64,1371.63,803.01,INV2024010100109
110,20240101,1051,39,1008,13,0.05,93.99,16.93,1221.87,61.09,1160.78,220.09,940.69,INV2024010100110
111,20240101,1291,337,1019,4,0.0,19.23,18.22,76.92,0.0,76.92,72.88,4.04,INV2024010100111
112,20240101,1285,274,1008,9,0.0,13.94,18.2,125.46,0.0,125.46,163.8,-38.34,INV2024010100112
113,20240101,1320,715,1006,72,0.0,46.55,41.33,3351.6,0.0,3351.6,2975.76,375.84,INV2024010100113
114,20240101,1105,243,1009,6,0.0,79.02,36.48,474.12,0.0,474.12,218.88,255.24,INV2024010100114
115,20240101,1141,334,1022,33,0.1,71.98,10.6,2375.34,237.53,2137.81,349.8,1788.01,INV2024010100115
116,20240101,1067,234,1015,70,0.2,92.66,13.98,6486.2,1297.24,5188.96,978.6,4210.36,INV2024010100116
117,20240101,1030,644,1011,48,0.15,15.76,16.16,756.48,113.47,643.01,775.68,-132.67,INV2024010100117
118,20240101,1208,433,1009,81,0.0,74.12,9.86,6003.72,0.0,6003.72,798.66,5205.06,INV2024010100118
119,20240101,1298,27,1017,37,0.0,43.39,25.25,1605.43,0.0,1605.43,934.25,671.18,INV2024010100119
120,20240101,1253,93,1006,77,0.0,86.64,16.34,6671.28,0.0,6671.28,1258.18,5413.1,INV2024010100120
121,20240101,1165,216,1014,22,0.0,23.89,34.47,525.58,0.0,525.58,758.34,-232.76,INV2024010100121
122,20240101,1320,302,1010,50,0.15,46.55,41.33,2327.5,349.12,1978.38,2066.5,-88.12,INV2024010100122
123,20240101,1052,477,1012,19,0.05,58.89,24.72,1118.91,55.95,1062.96,469.68,593.28,INV2024010100123
124,20240101,1213,548,1014,28,0.2,38.13,37.83,1067.64,213.53,854.11,1059.24,-205.13,INV2024010100124
125,20240101,1015,423,1016,64,0.05,89.62,27.47,5735.68,286.78,5448.9,1758.08,3690.82,INV2024010100125
126,20240101,1057,695,1021,58,0.05,10.32,17.45,598.56,29.93,568.63,1012.1,-443.47,INV2024010100126
127,20240101,1082,42,1013,25,0.15,16.55,43.24,413.75,62.06,351.69,1081.0,-729.31,INV2024010100127
128,20240101,1112,561,1005,72,0.0,51.38,45.12,3699.36,0.0,3699.36,3248.64,450.72,INV2024010100128
129,20240101,1092,298,1010,58,0.05,29.26,11.88,1697.08,84.85,1612.23,689.04,923.19,INV2024010100129
130,20240101,1009,400,1018,32,0.05,69.51,8.13,2224.32,111.22,2113.1,260.16,1852.94,INV2024010100130
131,20240101,1111,435,1013,47,0.1,84.01,43.23,3948.47,394.85,3553.62,2031.81,1521.81,INV2024010100131
132,20240101,1171,545,1015,75,0.1,42.26,7.53,3169.5,316.95,2852.55,564.75,2287.8,INV2024010100132
133,20240101,1319,592,1012,38,0.0,67.77,29.55,2575.26,0.0,2575.26,1122.9,1452.36,INV2024010100133
134,20240101,1183,101,1022,18,0.0,75.91,31.08,1366.38,0.0,1366.38,559.44,806.94,INV2024010100134
135,20240101,1297,570,1009,27,0.1,42.97,40.03,1160.19,116.02,1044.17,1080.81,-36.64,INV2024010100135
136,20240101,1079,361,1022,37,0.0,52.59,14.62,1945.83,0.0,1945.83,540.94,1404.89,INV2024010100136
137,20240101,1186,74,1004,42,0.0,82.38,44.17,3459.96,0.0,3459.96,1855.14,1604.82,INV2024010100137
138,20240101,1332,245,1005,36,0.0,50.53,22.39,1819.08,0.0,1819.08,806.04,1013.04,INV2024010100138
139,20240101,1104,589,1018,34,0.2,23.71,5.92,806.14,161.23,644.91,201.28,443.63,INV2024010100139
140,20240101,1183,49,1014,15,0.0,75.91,31.08,1138.65,0.0,1138.65,466.2,672.45,INV2024010100140
141,20240101,1220,619,1021,61,0.0,30.35,17.54,1851.35,0.0,1851.35,1069.94,781.41,INV2024010100141
142,20240101,1220,224,1004,77,0.0,30.35,17.54,2336.95,0.0,2336.95,1350.58,986.37,INV2024010100142
143,20240101,1040,320,1007,27,0.2,53.32,23.29,1439.64,287.93,1151.71,628.83,522.88,INV2024010100143
144,20240101,1163,653,1007,19,0.1,96.88,10.68,1840.72,184.07,1656.65,202.92,1453.73,INV2024010100144
145,20240101,1004,640,1007,77,0.0,72.83,41.26,5607.91,0.0,5607.91,3177.02,2430.89,INV2024010100145
146,20240101,1317,247,1021,7,0.0,17.31,43.87,121.17,0.0,121.17,307.09,-185.92,INV2024010100146
147,20240101,1314,215,1004,61,0.2,86.13,45.27,5253.93,1050.79,4203.14,2761.47,1441.67,INV2024010100147
148,20240101,1052,115,1010,1,0.15,58.89,24.72,58.89,8.83,50.06,24.72,25.34,INV2024010100148
149,20240101,1035,76,1017,21,0.0,48.12,24.4,1010.52,0.0,1010.52,512.4,498.12,INV2024010100149
150,20240101,1181,337,1019,16,0.0,78.0,16.28,1248.0,0.0,1248.0,260.48,987.52,INV2024010100150
151,20240101,1272,312,1018,49,0.0,92.57,6.72,4535.93,0.0,4535.93,329.28,4206.65,INV2024010100151
152,20240101,1093,279,1008,29,0.0,84.96,7.8,2463.84,0.0,2463.84,226.2,2237.64,INV2024010100152
153,20240101,1012,12,1016,88,0.05,24.71,37.81,2174.48,108.72,2065.76,3327.28,-1261.52,INV2024010100153
154,20240101,1219,545,1008,83,0.0,30.18,34.55,2504.94,0.0,2504.94,2867.65,-362.71,INV2024010100154
155,20240101,1040,17,1021,91,0.1,53.32,23.29,4852.12,485.21,4366.91,2119.39,2247.52,INV2024010100155
156,20240101,1060,289,1008,47,0.0,59.73,21.61,2807.31,0.0,2807.31,1015.67,1791.64,INV2024010100156
157,20240101,1337,85,1008,1,0.15,76.54,49.58,76.54,11.48,65.06,49.58,15.48,INV2024010100157
158,20240101,1203,641,1009,91,0.1,12.32,34.75,1121.12,112.11,1009.01,3162.25,-2153.24,INV2024010100158
159,20240101,1076,238,1017,14,0.15,94.63,23.92,1324.82,198.72,1126.1,334.88,791.22,INV2024010100159
160,20240101,1297,266,1005,75,0.1,42.97,40.03,3222.75,322.28,2900.48,3002.25,-101.78,INV2024010100160
161,20240101,1046,678,1018,87,0.0,90.13,10.39,7841.31,0.0,7841.31,903.93,6937.38,INV2024010100161
162,20240101,1126,382,1019,47,0.05,36.66,42.47,1723.02,86.15,1636.87,1996.09,-359.22,INV2024010100162
163,20240101,1230,309,1008,60,0.15,95.08,14.2,5704.8,855.72,4849.08,852.0,3997.08,INV2024010100163
164,20240101,1132,579,1019,84,0.0,47.46,30.11,3986.64,0.0,3986.64,2529.24,1457.4,INV2024010100164
165,20240101,1295,680,1004,26,0.15,77.49,28.09,2014.74,302.21,1712.53,730.34,982.19,INV2024010100165
166,20240101,1301,313,1011,18,0.0,73.36,39.87,1320.48,0.0,1320.48,717.66,602.82,INV2024010100166
167,20240101,1044,721,1004,36,0.0,14.51,19.11,522.36,0.0,522.36,687.96,-165.6,INV2024010100167
168,20240101,1261,306,1010,94,0.0,72.36,13.14,6801.84,0.0,6801.84,1235.16,5566.68,INV2024010100168
169,20240101,1310,315,1009,53,0.15,21.28,30.87,1127.84,169.18,958.66,1636.11,-677.45,INV2024010100169
170,20240101,1128,437,1011,68,0.1,67.41,47.48,4583.88,458.39,4125.49,3228.64,896.85,INV2024010100170
171,20240101,1236,616,1008,83,0.2,42.57,36.03,3533.31,706.66,2826.65,2990.49,-163.84,INV2024010100171
172,20240101,1281,392,1018,62,0.15,80.97,5.73,5020.14,753.02,4267.12,355.26,3911.86,INV2024010100172
173,20240101,1175,719,1019,69,0.0,24.22,35.49,1671.18,0.0,1671.18,2448.81,-777.63,INV2024010100173
174,20240101,1000,364,1020,66,0.15,32.04,38.37,2114.64,317.2,1797.44,2532.42,-734.98,INV2024010100174
175,20240101,1004,45,1014,10,0.2,72.83,41.26,728.3,145.66,582.64,412.6,170.04,INV2024010100175
176,20240101,1299,39,1005,58,0.0,43.03,11.2,2495.74,0.0,2495.74,649.6,1846.14,INV2024010100176
177,20240101,1337,312,1004,49,0.15,76.54,49.58,3750.46,562.57,3187.89,2429.42,758.47,INV2024010100177
178,20240101,1193,709,1020,55,0.0,13.35,7.04,734.25,0.0,734.25,387.2,347.05,INV2024010100178
179,20240101,1131,373,1004,43,0.15,60.66,11.71,2608.38,391.26,2217.12,503.53,1713.59,INV2024010100179
180,20240101,1034,373,1005,75,0.2,82.67,40.31,6200.25,1240.05,4960.2,3023.25,1936.95,INV2024010100180
181,20240101,1184,487,1020,51,0.0,80.79,14.04,4120.29,0.0,4120.29,716.04,3404.25,INV2024010100181
182,20240101,1282,182,1007,22,0.0,78.1,31.19,1718.2,0.0,1718.2,686.18,1032.02,INV2024010100182
183,20240101,1015,256,1015,43,0.1,89.62,27.47,3853.66,385.37,3468.29,1181.21,2287.08,INV2024010100183
184,20240101,1114,424,1013,8,0.1,63.32,42.16,506.56,50.66,455.9,337.28,118.62,INV2024010100184
185,20240101,1053,564,1013,3,0.2,36.94,41.77,110.82,22.16,88.66,125.31,-36.65,INV2024010100185
186,20240101,1165,442,1018,41,0.0,23.89,34.47,979.49,0.0,979.49,1413.27,-433.78,INV2024010100186
187,20240101,1280,357,1014,53,0.1,13.92,44.3,737.76,73.78,663.98,2347.9,-1683.92,INV2024010100187
188,20240101,1240,683,1010,40,0.0,33.04,9.63,1321.6,0.0,1321.6,385.2,936.4,INV2024010100188
189,20240101,1079,509,1013,58,0.15,52.59,14.62,3050.22,457.53,2592.69,847.96,1744.73,INV2024010100189
190,20240101,1123,499,1022,18,0.2,34.38,36.63,618.84,123.77,495.07,659.34,-164.27,INV2024010100190
191,20240101,1314,720,1021,50,0.0,86.13,45.27,4306.5,0.0,4306.5,2263.5,2043.0,INV2024010100191
192,20240101,1329,13,1005,86,0.0,68.88,44.71,5923.68,0.0,5923.68,3845.06,2078.62,INV2024010100192
193,20240101,1065,705,1010,11,0.0,76.16,35.15,837.76,0.0,837.76,386.65,451.11,INV2024010100193
194,20240101,1123,77,1017,66,0.0,34.38,36.63,2269.08,0.0,2269.08,2417.58,-148.5,INV2024010100194
195,20240101,1176,112,1014,22,0.1,72.13,48.29,1586.86,158.69,1428.17,1062.38,365.79,INV2024010100195
196,20240101,1304,583,1004,63,0.2,15.84,20.63,997.92,199.58,798.34,1299.69,-501.35,INV2024010100196
197,20240101,1312,139,1008,79,0.2,48.94,48.48,3866.26,773.25,3093.01,3829.92,-736.91,INV2024010100197
198,20240101,1203,139,1007,8,0.2,12.32,34.75,98.56,19.71,78.85,278.0,-199.15,INV2024010100198
199,20240101,1314,325,1017,83,0.05,86.13,45.27,7148.79,357.44,6791.35,3757.41,3033.94,INV2024010100199
200,20240101,1320,424,1006,73,0.0,46.55,41.33,3398.15,0.0,3398.15,3017.09,381.06,INV2024010100200
201,20240102,1195,589,1021,69,0.1,85.03,34.47,5867.07,586.71,5280.36,2378.43,2901.93,INV2024010200201
202,20240102,1229,705,1021,72,0.2,14.09,35.02,1014.48,202.9,811.58,2521.44,-1709.86,INV2024010200202
203,20240102,1036,383,1007,97,0.0,68.16,34.41,6611.52,0.0,6611.52,3337.77,3273.75,INV2024010200203
204,20240102,1045,711,1006,15,0.05,17.21,48.24,258.15,12.91,245.24,723.6,-478.36,INV2024010200204
205,20240102,1013,432,1013,15,0.1,79.15,19.59,1187.25,118.72,1068.53,293.85,774.68,INV2024010200205
206,20240102,1216,625,1019,7,0.2,15.4,10.86,107.8,21.56,86.24,76.02,10.22,INV2024010200206
207,20240102,1092,108,1006,85,0.1,29.26,11.88,2487.1,248.71,2238.39,1009.8,1228.59,INV2024010200207
208,20240102,1251,332,1022,26,0.0,35.46,21.78,921.96,0.0,921.96,566.28,355.68,INV2024010200208
209,20240102,1332,460,1018,65,0.05,50.53,22.39,3284.45,164.22,3120.23,1455.35,1664.88,INV2024010200209
210,20240102,1109,111,1008,51,0.1,82.5,35.79,4207.5,420.75,3786.75,1825.29,1961.46,INV2024010200210
211,20240102,1035,543,1014,90,0.05,48.12,24.4,4330.8,216.54,4114.26,2196.0,1918.26,INV2024010200211
212,20240102,1083,467,1012,26,0.0,54.49,36.34,1416.74,0.0,1416.74,944.84,471.9,INV2024010200212
213,20240102,1227,435,1016,92,0.0,53.71,34.79,4941.32,0.0,4941.32,3200.68,1740.64,INV2024010200213
214,20240102,1057,440,1014,9,0.2,10.32,17.45,92.88,18.58,74.3,157.05,-82.75,INV2024010200214
215,20240102,1076,124,1017,26,0.1,94.63,23.92,2460.38,246.04,2214.34,621.92,1592.42,INV2024010200215
216,20240102,1249,326,1004,77,0.15,40.91,45.46,3150.07,472.51,2677.56,3500.42,-822.86,INV2024010200216
217,20240102,1334,180,1012,5,0.0,64.22,11.49,321.1,0.0,321.1,57.45,263.65,INV2024010200217
218,20240102,1180,318,1016,18,0.15,64.64,40.95,1163.52,174.53,988.99,737.1,251.89,INV2024010200218
219,20240102,1035,635,1005,53,0.2,48.12,24.4,2550.36,510.07,2040.29,1293.2,747.09,INV2024010200219
220,20240102,1035,619,1007,23,0.0,48.12,24.4,1106.76,0.0,1106.76,561.2,545.56,INV2024010200220
221,20240102,1138,512,1019,92,0.2,33.81,15.5,3110.52,622.1,2488.42,1426.0,1062.42,INV2024010200221
222,20240102,1055,526,1013,69,0.1,74.59,32.22,5146.71,514.67,4632.04,2223.18,2408.86,INV2024010200222
223,20240102,1107,568,1009,61,0.0,91.72,30.91,5594.92,0.0,5594.92,1885.51,3709.41,INV2024010200223
224,20240102,1037,317,1012,91,0.0,58.27,13.62,5302.57,0.0,5302.57,1239.42,4063.15,INV2024010200224
225,20240102,1257,536,1005,84,0.0,55.76,35.17,4683.84,0.0,4683.84,2954.28,1729.56,INV2024010200225
226,20240102,1096,166,1004,34,0.05,49.23,14.87,1673.82,83.69,1590.13,505.58,1084.55,INV2024010200226
227,20240102,1170,333,1015,78,0.05,36.95,12.49,2882.1,144.11,2738.0,974.22,1763.78,INV2024010200227
228,20240102,1337,219,1019,47,0.0,76.54,49.58,3597.38,0.0,3597.38,2330.26,1267.12,INV2024010200228
229,20240102,1117,151,1005,70,0.0,41.93,26.94,2935.1,0.0,2935.1,1885.8,1049.3,INV2024010200229
230,20240102,1298,370,1016,27,0.0,43.39,25.25,1171.53,0.0,1171.53,681.75,489.78,INV2024010200230
231,20240102,1314,17,1011,2,0.05,86.13,45.27,172.26,8.61,163.65,90.54,73.11,INV2024010200231
232,20240102,1257,337,1004,9,0.0,55.76,35.17,501.84,0.0,501.84,316.53,185.31,INV2024010200232
233,20240102,1307,28,1008,75,0.0,12.37,40.57,927.75,0.0,927.75,3042.75,-2115.0,INV2024010200233
234,20240102,1171,256,1013,54,0.2,42.26,7.53,2282.04,456.41,1825.63,406.62,1419.01,INV2024010200234
235,20240102,1156,311,1006,5,0.0,59.61,15.97,298.05,0.0,298.05,79.85,218.2,INV2024010200235
